variable,demand_site,wba_group,delivery_group,groundwater,include,Demand,Supply_Source,project,branch,start,end,sign
transmission_link_from_knights_landing_ridge_cut_cm_005_to_a_21_pa,a_21_pa,cvp_total,cvp_total,FALSE,TRUE,A_21_PA,Knights Landing Ridge Cut CM 005,cvp,Supply and Resources\Transmission Links\to A_21_PA\from Knights Landing Ridge Cut CM 005: Flow,March,February,1
transmission_link_from_sacramento_river_rm_074_to_a_21_sa,a_21_sa,cvp_total,cvp_total,FALSE,TRUE,A_21_SA,Sacramento River RM 074,cvp,Supply and Resources\Transmission Links\to A_21_SA\from Sacramento River RM 074: Flow,April,October,1
transmission_link_from_sacramento_river_rm_083_to_a_21_sa,a_21_sa,cvp_total,cvp_total,FALSE,TRUE,A_21_SA,Sacramento River RM 083,cvp,Supply and Resources\Transmission Links\to A_21_SA\from Sacramento River RM 083: Flow,April,October,1
transmission_link_from_yolo_bypass_cm_023_to_a_21_sa,a_21_sa,cvp_total,cvp_total,FALSE,TRUE,A_21_SA,Yolo Bypass CM 023,cvp,Supply and Resources\Transmission Links\to A_21_SA\from Yolo Bypass CM 023: Flow,April,October,1
transmission_link_from_natomas_cross_canal_to_a_22_sa1,a_22_sa1,cvp_total,cvp_total,FALSE,TRUE,A_22_SA1,Natomas Cross Canal,cvp,Supply and Resources\Transmission Links\to A_22_SA1\from Natomas Cross Canal: Flow,April,October,1
transmission_link_from_sacramento_river_rm_078_to_a_22_sa1,a_22_sa1,cvp_total,cvp_total,FALSE,TRUE,A_22_SA1,Sacramento River RM 078,cvp,Supply and Resources\Transmission Links\to A_22_SA1\from Sacramento River RM 078: Flow,April,October,1
transmission_link_from_sacramento_river_rm_082_to_a_22_sa1,a_22_sa1,cvp_total,cvp_total,FALSE,TRUE,A_22_SA1,Sacramento River RM 082,cvp,Supply and Resources\Transmission Links\to A_22_SA1\from Sacramento River RM 082: Flow,April,October,1
transmission_link_from_withdrawal_node_5_to_cross_valley_canal,cross_valley_canal,cvp_total,cvp_total,FALSE,TRUE,Cross Valley Canal,Withdrawal Node 5,cvp,Supply and Resources\Transmission Links\to Cross Valley Canal\from Withdrawal Node 5: Flow,March,February,1
transmission_link_from_withdrawal_node_5_to_cvp_ca_refuges,cvp_ca_refuges,cvp_total,cvp_total,FALSE,TRUE,CVP CA Refuges,Withdrawal Node 5,cvp,Supply and Resources\Transmission Links\to CVP CA Refuges\from Withdrawal Node 5: Flow,March,February,1
transmission_link_from_lower_dmc_to_cvp_lower_dmc_ag_demands,cvp_lower_dmc_ag_demands,cvp_total,cvp_total,FALSE,TRUE,CVP Lower DMC Ag Demands,Lower DMC,cvp,Supply and Resources\Transmission Links\to CVP Lower DMC Ag Demands\from Lower DMC: Flow,March,February,1
transmission_link_from_lower_dmc_to_cvp_lower_dmc_exchange_demands,cvp_lower_dmc_exchange_demands,cvp_total,cvp_total,FALSE,TRUE,CVP Lower DMC Exchange Demands,Lower DMC,cvp,Supply and Resources\Transmission Links\to CVP Lower DMC Exchange Demands\from Lower DMC: Flow,March,February,1
transmission_link_from_lower_dmc_to_cvp_lower_dmc_refuge_demands,cvp_lower_dmc_refuge_demands,cvp_total,cvp_total,FALSE,TRUE,CVP Lower DMC Refuge Demands,Lower DMC,cvp,Supply and Resources\Transmission Links\to CVP Lower DMC Refuge Demands\from Lower DMC: Flow,March,February,1
transmission_link_from_mendota_pool_to_cvp_mendota_pool_ag_demands,cvp_mendota_pool_ag_demands,cvp_total,cvp_total,FALSE,TRUE,CVP Mendota Pool Ag Demands,Mendota Pool,cvp,Supply and Resources\Transmission Links\to CVP Mendota Pool Ag Demands\from Mendota Pool: Flow,March,February,1
transmission_link_from_mendota_pool_to_cvp_mendota_pool_exchange_demands,cvp_mendota_pool_exchange_demands,cvp_total,cvp_total,FALSE,TRUE,CVP Mendota Pool Exchange Demands,Mendota Pool,cvp,Supply and Resources\Transmission Links\to CVP Mendota Pool Exchange Demands\from Mendota Pool: Flow,March,February,1
transmission_link_from_mendota_pool_to_cvp_mendota_pool_refuge_demands,cvp_mendota_pool_refuge_demands,cvp_total,cvp_total,FALSE,TRUE,CVP Mendota Pool Refuge Demands,Mendota Pool,cvp,Supply and Resources\Transmission Links\to CVP Mendota Pool Refuge Demands\from Mendota Pool: Flow,March,February,1
transmission_link_from_mendota_pool_to_cvp_mendota_pool_water_rights_demands,cvp_mendota_pool_water_rights_demands,cvp_total,cvp_total,FALSE,TRUE,CVP Mendota Pool Water Rights Demands,Mendota Pool,cvp,Supply and Resources\Transmission Links\to CVP Mendota Pool Water Rights Demands\from Mendota Pool: Flow,March,February,1
transmission_link_from_cvp_san_luis_reservoir_to_cvp_san_felipe_ag_demands,cvp_san_felipe_ag_demands,cvp_total,cvp_total,FALSE,TRUE,CVP San Felipe Ag Demands,CVP San Luis Reservoir,cvp,Supply and Resources\Transmission Links\to CVP San Felipe Ag Demands\from CVP San Luis Reservoir: Flow,March,February,1
transmission_link_from_cvp_san_luis_reservoir_to_cvp_san_felipe_urban_demands,cvp_san_felipe_urban_demands,cvp_total,cvp_total,FALSE,TRUE,CVP San Felipe Urban Demands,CVP San Luis Reservoir,cvp,Supply and Resources\Transmission Links\to CVP San Felipe Urban Demands\from CVP San Luis Reservoir: Flow,March,February,1
transmission_link_from_cvp_san_luis_canal_to_cvp_san_luis_canal_ag_demands,cvp_san_luis_canal_ag_demands,cvp_total,cvp_total,FALSE,TRUE,CVP San Luis Canal Ag Demands,CVP San Luis Canal,cvp,Supply and Resources\Transmission Links\to CVP San Luis Canal Ag Demands\from CVP San Luis Canal: Flow,March,February,1
transmission_link_from_cvp_san_luis_canal_to_cvp_san_luis_canal_refuge_demands,cvp_san_luis_canal_refuge_demands,cvp_total,cvp_total,FALSE,TRUE,CVP San Luis Canal Refuge Demands,CVP San Luis Canal,cvp,Supply and Resources\Transmission Links\to CVP San Luis Canal Refuge Demands\from CVP San Luis Canal: Flow,March,February,1
transmission_link_from_cvp_san_luis_canal_to_cvp_san_luis_canal_urban_demands,cvp_san_luis_canal_urban_demands,cvp_total,cvp_total,FALSE,TRUE,CVP San Luis Canal Urban Demands,CVP San Luis Canal,cvp,Supply and Resources\Transmission Links\to CVP San Luis Canal Urban Demands\from CVP San Luis Canal: Flow,March,February,1
transmission_link_from_upper_dmc_to_cvp_upper_dmc_ag_demands,cvp_upper_dmc_ag_demands,cvp_total,cvp_total,FALSE,TRUE,CVP Upper DMC Ag Demands,Upper DMC,cvp,Supply and Resources\Transmission Links\to CVP Upper DMC Ag Demands\from Upper DMC: Flow,March,February,1
